current_path,suggested_path,size,modified_ts
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138065+SC-BINANCE_SPOT_ADX_BTC+S-ADXBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138065+SC-BINANCE_SPOT_ADX_BTC+S-ADXBTC.csv.gz,6808,2025-10-11T14:44:59.469156
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-142595+SC-BINANCE_SPOT_STEEM_BTC+S-STEEMBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-142595+SC-BINANCE_SPOT_STEEM_BTC+S-STEEMBTC.csv.gz,8081,2025-10-11T14:45:26.045711
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138033+SC-BINANCE_SPOT_BAT_BTC+S-BATBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138033+SC-BINANCE_SPOT_BAT_BTC+S-BATBTC.csv.gz,3562,2025-10-11T14:44:58.407868
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138166+SC-BINANCE_SPOT_ADA_BTC+S-ADABTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138166+SC-BINANCE_SPOT_ADA_BTC+S-ADABTC.csv.gz,133597,2025-10-11T14:45:09.992795
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36886776+SC-BINANCE_SPOT_AEVO_BTC+S-AEVOBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36886776+SC-BINANCE_SPOT_AEVO_BTC+S-AEVOBTC.csv.gz,2743,2025-10-11T14:45:48.706113
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36858193+SC-BINANCE_SPOT_PYTH_BTC+S-PYTHBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36858193+SC-BINANCE_SPOT_PYTH_BTC+S-PYTHBTC.csv.gz,2634,2025-10-11T14:45:41.822875
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138196+SC-BINANCE_SPOT_LTC_BTC+S-LTCBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138196+SC-BINANCE_SPOT_LTC_BTC+S-LTCBTC.csv.gz,113937,2025-10-11T14:45:21.887650
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138177+SC-BINANCE_SPOT_ETH_BTC+S-ETHBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138177+SC-BINANCE_SPOT_ETH_BTC+S-ETHBTC.csv.gz,1356044,2025-10-11T14:45:13.540910
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36778099+SC-BINANCE_SPOT_ORDI_BTC+S-ORDIBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36778099+SC-BINANCE_SPOT_ORDI_BTC+S-ORDIBTC.csv.gz,5041,2025-10-11T14:45:37.565264
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138164+SC-BINANCE_SPOT_LSK_BTC+S-LSKBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138164+SC-BINANCE_SPOT_LSK_BTC+S-LSKBTC.csv.gz,2805,2025-10-11T14:45:08.433498
