venue,window_start,lrs,mean_correlation
BITGET,540,0.960738655399,0.960738655399
BINANCE,600,0.9507593596949393,0.9507593596949393
COINBASE,600,0.9374450565235137,0.9374450565235137
BYBITSPOT,600,0.9537811885841556,0.9537811885841556
BITGET,600,0.9360540109339409,0.9360540109339409
BINANCE,660,0.9403400628886384,0.9403400628886384
COINBASE,660,0.9247700406195962,0.9247700406195962
BYBITSPOT,660,0.9421980173382165,0.9421980173382165
BITGET,660,0.9150636242468796,0.9150636242468796
BINANCE,720,0.9771639176489327,0.9771639176489327
COINBASE,720,0.9687466590883251,0.9687466590883251
BYBITSPOT,720,0.9789274402140763,0.9789274402140763
BITGET,720,0.9720573374825826,0.9720573374825826
BINANCE,780,0.9816300145598943,0.9816300145598943
COINBASE,780,0.9741757531228102,0.9741757531228102
BYBITSPOT,780,0.9839174937079926,0.9839174937079926
BITGET,780,0.9783064765299317,0.9783064765299317
BINANCE,840,0.9897629877172993,0.9897629877172993
COINBASE,840,0.9893501429617095,0.9893501429617095
BYBITSPOT,840,0.991613556069562,0.991613556069562
BITGET,840,0.9901284407976613,0.9901284407976613
BINANCE,900,0.9904654845636444,0.9904654845636444
COINBASE,900,0.9900710690325737,0.9900710690325737
BYBITSPOT,900,0.9921571931957129,0.9921571931957129
BITGET,900,0.9897669701188655,0.9897669701188655
BINANCE,960,0.9898794165209615,0.9898794165209615
COINBASE,960,0.9879162634948395,0.9879162634948395
BYBITSPOT,960,0.9906704686066844,0.9906704686066844
BITGET,960,0.9879650472647744,0.9879650472647744
BINANCE,1020,0.988356267046849,0.988356267046849
COINBASE,1020,0.9821798279239004,0.9821798279239004
BYBITSPOT,1020,0.9872891869012129,0.9872891869012129
BITGET,1020,0.9839673387929068,0.9839673387929068
BINANCE,1080,0.9874285954174703,0.9874285954174703
COINBASE,1080,0.9846352791633546,0.9846352791633546
BYBITSPOT,1080,0.9889106655341751,0.9889106655341751
BITGET,1080,0.9863642896677027,0.9863642896677027
BINANCE,1140,0.9898841676858744,0.9898841676858744
COINBASE,1140,0.9890332950942864,0.9890332950942864
BYBITSPOT,1140,0.9918212951762985,0.9918212951762985
BITGET,1140,0.9913585615631604,0.9913585615631604
BINANCE,1200,0.9946031222331166,0.9946031222331166
COINBASE,1200,0.9933113337204996,0.9933113337204996
BYBITSPOT,1200,0.9959236717798946,0.9959236717798946
BITGET,1200,0.9954600465990678,0.9954600465990678
BINANCE,1260,0.9871000381818839,0.9871000381818839
COINBASE,1260,0.9775339688543762,0.9775339688543762
BYBITSPOT,1260,0.9888457555305529,0.9888457555305529
BITGET,1260,0.9866495672899595,0.9866495672899595
BINANCE,1320,0.9904279063769762,0.9904279063769762
COINBASE,1320,0.9839824101986188,0.9839824101986188
BYBITSPOT,1320,0.9917425648722756,0.9917425648722756
BITGET,1320,0.9894464997936144,0.9894464997936144
BINANCE,1380,0.9932658623637739,0.9932658623637739
COINBASE,1380,0.9893702655004558,0.9893702655004558
BYBITSPOT,1380,0.9942555195484791,0.9942555195484791
BITGET,1380,0.9932307780182437,0.9932307780182437
BINANCE,1440,0.9951465871496475,0.9951465871496475
