edge,tsi,significant_windows,total_windows,n_obs,environment,day,frequency
COINBASE->BYBITSPOT,0.26198083067092653,82,313,5789,Vol_Med,2025-09-01,2S
COINBASE->BITGET,0.32781456953642385,99,302,5831,Vol_Med,2025-09-01,2S
BYBITSPOT->BINANCE,0.3656957928802589,113,309,5582,Vol_Med,2025-09-01,2S
BYBITSPOT->COINBASE,0.23174603174603176,73,315,5785,Vol_Med,2025-09-01,2S
BYBITSPOT->BITGET,0.2901023890784983,85,293,5297,Vol_Med,2025-09-01,2S
BITGET->BINANCE,0.28668941979522183,84,293,5766,Vol_Med,2025-09-01,2S
BITGET->COINBASE,0.24342105263157895,74,304,5816,Vol_Med,2025-09-01,2S
BITGET->BYBITSPOT,0.23875432525951557,69,289,5279,Vol_Med,2025-09-01,2S
BINANCE->COINBASE,0.569811320754717,151,265,5795,Vol_High,2025-09-01,2S
BINANCE->BYBITSPOT,0.3438914027149321,76,221,5012,Vol_High,2025-09-01,2S
BINANCE->BITGET,0.26244343891402716,58,221,4955,Vol_High,2025-09-01,2S
COINBASE->BINANCE,0.2765151515151515,73,264,5795,Vol_High,2025-09-01,2S
COINBASE->BYBITSPOT,0.28294573643410853,73,258,6129,Vol_High,2025-09-01,2S
COINBASE->BITGET,0.26053639846743293,68,261,6200,Vol_High,2025-09-01,2S
BYBITSPOT->BINANCE,0.2311111111111111,52,225,5012,Vol_High,2025-09-01,2S
BYBITSPOT->COINBASE,0.24621212121212122,65,264,6129,Vol_High,2025-09-01,2S
BYBITSPOT->BITGET,0.34156378600823045,83,243,5405,Vol_High,2025-09-01,2S
BITGET->BINANCE,0.2863636363636364,63,220,4955,Vol_High,2025-09-01,2S
BITGET->COINBASE,0.2518796992481203,67,266,6200,Vol_High,2025-09-01,2S
BITGET->BYBITSPOT,0.31275720164609055,76,243,5405,Vol_High,2025-09-01,2S
BINANCE->COINBASE,0.7975567190226877,457,573,10883,Wash_Low,2025-09-01,2S
BINANCE->BYBITSPOT,0.31382978723404253,177,564,10861,Wash_Low,2025-09-01,2S
BINANCE->BITGET,0.27964601769911507,158,565,10726,Wash_Low,2025-09-01,2S
COINBASE->BINANCE,0.4930313588850174,283,574,10897,Wash_Low,2025-09-01,2S
COINBASE->BYBITSPOT,0.30973451327433627,175,565,11411,Wash_Low,2025-09-01,2S
COINBASE->BITGET,0.30973451327433627,175,565,11274,Wash_Low,2025-09-01,2S
BYBITSPOT->BINANCE,0.2700348432055749,155,574,10861,Wash_Low,2025-09-01,2S
BYBITSPOT->COINBASE,0.24390243902439024,140,574,11411,Wash_Low,2025-09-01,2S
BYBITSPOT->BITGET,0.2961672473867596,170,574,10806,Wash_Low,2025-09-01,2S
BITGET->BINANCE,0.28222996515679444,162,574,10726,Wash_Low,2025-09-01,2S
BITGET->COINBASE,0.2578397212543554,148,574,11274,Wash_Low,2025-09-01,2S
BITGET->BYBITSPOT,0.2961672473867596,170,574,10806,Wash_Low,2025-09-01,2S
BINANCE->COINBASE,0.8780918727915195,497,566,6353,Wash_High,2025-09-01,2S
BINANCE->BYBITSPOT,0.7971274685816876,444,557,5835,Wash_High,2025-09-01,2S
BINANCE->BITGET,0.7907801418439716,446,564,5988,Wash_High,2025-09-01,2S
COINBASE->BINANCE,0.9312169312169312,528,567,6368,Wash_High,2025-09-01,2S
COINBASE->BYBITSPOT,0.9293478260869565,513,552,5277,Wash_High,2025-09-01,2S
COINBASE->BITGET,0.9243243243243243,513,555,5433,Wash_High,2025-09-01,2S
BYBITSPOT->BINANCE,0.851063829787234,480,564,5835,Wash_High,2025-09-01,2S
BYBITSPOT->COINBASE,0.851063829787234,480,564,5277,Wash_High,2025-09-01,2S
BYBITSPOT->BITGET,0.8650088809946714,487,563,5626,Wash_High,2025-09-01,2S
BITGET->BINANCE,0.8126094570928196,464,571,5988,Wash_High,2025-09-01,2S
BITGET->COINBASE,0.8333333333333334,470,564,5433,Wash_High,2025-09-01,2S
BITGET->BYBITSPOT,0.813953488372093,455,559,5626,Wash_High,2025-09-01,2S
BINANCE->COINBASE,0.6143106457242583,352,573,17236,Full,2025-09-01,5S
BINANCE->BYBITSPOT,0.22300884955752212,126,565,16696,Full,2025-09-01,5S
BINANCE->BITGET,0.22123893805309736,125,565,16714,Full,2025-09-01,5S
COINBASE->BINANCE,0.2073170731707317,119,574,17265,Full,2025-09-01,5S
COINBASE->BYBITSPOT,0.24778761061946902,140,565,16688,Full,2025-09-01,5S
COINBASE->BITGET,0.22300884955752212,126,565,16707,Full,2025-09-01,5S
BYBITSPOT->BINANCE,0.21428571428571427,123,574,16696,Full,2025-09-01,5S
BYBITSPOT->COINBASE,0.20034843205574912,115,574,16688,Full,2025-09-01,5S
BYBITSPOT->BITGET,0.24041811846689895,138,574,16432,Full,2025-09-01,5S
BITGET->BINANCE,0.20905923344947736,120,574,16714,Full,2025-09-01,5S
BITGET->COINBASE,0.20209059233449478,116,574,16707,Full,2025-09-01,5S
BITGET->BYBITSPOT,0.22822299651567945,131,574,16432,Full,2025-09-01,5S
BINANCE->COINBASE,0.5854545454545454,161,275,6190,Vol_Low,2025-09-01,5S
BINANCE->BYBITSPOT,0.26022304832713755,70,269,6103,Vol_Low,2025-09-01,5S
BINANCE->BITGET,0.24719101123595505,66,267,5995,Vol_Low,2025-09-01,5S
COINBASE->BINANCE,0.2375886524822695,67,282,6220,Vol_Low,2025-09-01,5S
COINBASE->BYBITSPOT,0.32894736842105265,75,228,4770,Vol_Low,2025-09-01,5S
COINBASE->BITGET,0.2981651376146789,65,218,4676,Vol_Low,2025-09-01,5S
BYBITSPOT->BINANCE,0.29856115107913667,83,278,6102,Vol_Low,2025-09-01,5S
BYBITSPOT->COINBASE,0.23684210526315788,54,228,4774,Vol_Low,2025-09-01,5S
BYBITSPOT->BITGET,0.2607003891050584,67,257,5730,Vol_Low,2025-09-01,5S
BITGET->BINANCE,0.24727272727272728,68,275,5993,Vol_Low,2025-09-01,5S
BITGET->COINBASE,0.18636363636363637,41,220,4691,Vol_Low,2025-09-01,5S
BITGET->BYBITSPOT,0.2471042471042471,64,259,5748,Vol_Low,2025-09-01,5S
BINANCE->COINBASE,0.5345911949685535,170,318,5251,Vol_Med,2025-09-01,5S
BINANCE->BYBITSPOT,0.3079470198675497,93,302,5581,Vol_Med,2025-09-01,5S
