event_id,date,venue_i,venue_j,n_pre,n_post,pre_minutes,post_minutes,shrunk,reason
48,20250902,BYBITSPOT,BITGET,167,177,15.0,15.0,False,SUFFICIENT
49,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
49,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
49,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
49,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
49,20250902,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
49,20250902,BYBITSPOT,BITGET,177,180,15.0,15.0,False,SUFFICIENT
50,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
50,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
50,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
50,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
50,20250902,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
50,20250902,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
51,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
51,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
51,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
51,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
51,20250902,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
51,20250902,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
52,20250903,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
52,20250903,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
52,20250903,BINANCE,BYBITSPOT,172,175,15.0,15.0,False,SUFFICIENT
52,20250903,BYBITSPOT,BINANCE,166,172,15.0,15.0,False,SUFFICIENT
52,20250903,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
52,20250903,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
53,20250903,BINANCE,COINBASE,135,180,15.0,15.0,False,SUFFICIENT
53,20250903,COINBASE,BINANCE,135,180,15.0,15.0,False,SUFFICIENT
53,20250903,BINANCE,BYBITSPOT,134,174,15.0,15.0,False,SUFFICIENT
53,20250903,BYBITSPOT,BINANCE,133,168,15.0,15.0,False,SUFFICIENT
53,20250903,BINANCE,BITGET,135,177,15.0,15.0,False,SUFFICIENT
53,20250903,BITGET,BINANCE,135,174,15.0,15.0,False,SUFFICIENT
54,20250903,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
54,20250903,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
54,20250903,BINANCE,BYBITSPOT,174,178,15.0,15.0,False,SUFFICIENT
