venue_i,venue_j,date,lag,fake_t0,beta_delta,se_delta,t_stat,p_delta,significant
COINBASE,BYBITSPOT,2025-09-03,1,2025-09-03 12:00:00,-0.019590338835654576,0.016809043209074913,-1.1654642439777947,0.2438483712493993,False
COINBASE,BYBITSPOT,2025-09-03,3,2025-09-03 12:00:00,0.029061724719401667,0.01680730054512048,1.729113169683808,0.08380799367807401,False
COINBASE,BYBITSPOT,2025-09-03,6,2025-09-03 12:00:00,0.010679673255713142,0.016808309295916046,0.6353805768143502,0.5251892578837363,False
COINBASE,BITGET,2025-09-03,1,2025-09-03 12:00:00,-0.016385240483098792,0.017571753324722047,-0.9324761269011257,0.35110539223180637,False
COINBASE,BITGET,2025-09-03,3,2025-09-03 12:00:00,-0.09838988260480075,0.017551004342009343,-5.6059403033306126,2.107457341971042e-08,True
COINBASE,BITGET,2025-09-03,6,2025-09-03 12:00:00,-0.06788791325589726,0.017552896559424335,-3.8676188300926047,0.00011036356365523581,True
BYBITSPOT,BINANCE,2025-09-03,1,2025-09-03 12:00:00,0.022053855025855742,0.016378458174031083,1.3465159413370975,0.17815501543298629,False
BYBITSPOT,BINANCE,2025-09-03,3,2025-09-03 12:00:00,0.020361320674428415,0.01638121414469761,1.242967736980541,0.2138977108106097,False
BYBITSPOT,BINANCE,2025-09-03,6,2025-09-03 12:00:00,-0.005598621659589069,0.016381545580462037,-0.3417639460263408,0.732532978817976,False
BYBITSPOT,COINBASE,2025-09-03,1,2025-09-03 12:00:00,0.009031796647826107,0.01473894351211232,0.612784535092618,0.5400274628595088,False
BYBITSPOT,COINBASE,2025-09-03,3,2025-09-03 12:00:00,0.00017126945060658844,0.014738815818862614,0.011620299263621927,0.9907286951265846,False
BYBITSPOT,COINBASE,2025-09-03,6,2025-09-03 12:00:00,0.00010397383257617753,0.014740749640485806,0.007053496946356854,0.9943722576947189,False
BYBITSPOT,BITGET,2025-09-03,1,2025-09-03 12:00:00,-0.033949834869311225,0.01671917400418372,-2.030592830771173,0.042314237490080675,True
BYBITSPOT,BITGET,2025-09-03,3,2025-09-03 12:00:00,-0.032659481228092445,0.0167170237908773,-1.9536660135588941,0.050759629266959205,False
BYBITSPOT,BITGET,2025-09-03,6,2025-09-03 12:00:00,-0.010946753941259591,0.016720973590098515,-0.6546720430048294,0.512689155002322,False
BITGET,BINANCE,2025-09-03,1,2025-09-03 12:00:00,-0.019080368679153536,0.016702800592313178,-1.1423454751614854,0.2533284111228178,False
BITGET,BINANCE,2025-09-03,3,2025-09-03 12:00:00,-0.015354763432844677,0.01670323220588086,-0.9192689919881845,0.35796946075062896,False
BITGET,BINANCE,2025-09-03,6,2025-09-03 12:00:00,0.012306259695066395,0.01670540379673753,0.7366634081284367,0.4613384233163813,False
BITGET,COINBASE,2025-09-03,1,2025-09-03 12:00:00,-0.005936607918350541,0.015077057314343105,-0.3937511010655194,0.6937703560096264,False
BITGET,COINBASE,2025-09-03,3,2025-09-03 12:00:00,0.008420366413355963,0.015074123210418516,0.5585974252576233,0.5764447630399849,False
BITGET,COINBASE,2025-09-03,6,2025-09-03 12:00:00,-0.010247649842041882,0.015075364193142446,-0.6797613451158535,0.49666598857386135,False
BITGET,BYBITSPOT,2025-09-03,1,2025-09-03 12:00:00,-0.04422574358514999,0.01625628979596069,-2.720531199938319,0.006525359341836845,True
BITGET,BYBITSPOT,2025-09-03,3,2025-09-03 12:00:00,-0.036541835172367636,0.01625767947991342,-2.247666108654409,0.024612222501644965,True
BITGET,BYBITSPOT,2025-09-03,6,2025-09-03 12:00:00,0.01091927509083054,0.01626028390187522,0.6715304084925154,0.5018932297741157,False
BINANCE,COINBASE,2025-09-04,1,2025-09-04 12:00:00,-0.05485161050043964,0.013883408614742705,-3.9508748912131755,7.817826792666516e-05,True
BINANCE,COINBASE,2025-09-04,3,2025-09-04 12:00:00,-0.008302625179663174,0.013913000332491151,-0.5967530353804407,0.5506801707955917,False
BINANCE,COINBASE,2025-09-04,6,2025-09-04 12:00:00,0.01195616128242175,0.013914826825432323,0.8592389565761112,0.3902207323736928,False
BINANCE,BYBITSPOT,2025-09-04,1,2025-09-04 12:00:00,0.013956825225427573,0.014927514045750327,0.9349731765552017,0.3498161197762797,False
BINANCE,BYBITSPOT,2025-09-04,3,2025-09-04 12:00:00,-0.016030755542240722,0.014930423230816383,-1.0736973288977671,0.28297442480639745,False
BINANCE,BYBITSPOT,2025-09-04,6,2025-09-04 12:00:00,-0.02447247688865905,0.014931764975350087,-1.6389540639742939,0.10124234146253852,False
BINANCE,BITGET,2025-09-04,1,2025-09-04 12:00:00,0.006072301319693517,0.01627674663661912,0.37306603434080415,0.7091049890117156,False
BINANCE,BITGET,2025-09-04,3,2025-09-04 12:00:00,-0.013722037920246425,0.016279426322612336,-0.8429067246175829,0.39929512748279583,False
BINANCE,BITGET,2025-09-04,6,2025-09-04 12:00:00,0.008620358699350052,0.016280980010942924,0.5294741897328082,0.5964850106439137,False
