ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:05:00.999581,kraken,14,,,0,0
2025-09-28T00:05:00.999581,okx,262,,,0,0
2025-09-28T00:05:00.999581,bybit,82,,,0,0
2025-09-28T00:05:01.000446,binance,53,1759010700014,1759010700139,0,0
2025-09-28T00:05:01.000446,coinbase,155,,,0,0
2025-09-28T00:05:01.000446,kraken,14,,,0,0
2025-09-28T00:05:01.000446,okx,262,,,0,0
2025-09-28T00:05:01.000446,bybit,82,,,0,0
2025-09-28T00:05:01.001493,binance,53,1759010700014,1759010700139,0,0
2025-09-28T00:05:01.001493,coinbase,155,,,0,0
2025-09-28T00:05:01.001493,kraken,14,,,0,0
2025-09-28T00:05:01.001493,okx,262,,,0,0
2025-09-28T00:05:01.001493,bybit,82,,,0,0
2025-09-28T00:05:01.002096,binance,53,1759010700014,1759010700139,0,0
2025-09-28T00:05:01.002096,coinbase,155,,,0,0
2025-09-28T00:05:01.002096,kraken,14,,,0,0
2025-09-28T00:05:01.002096,okx,262,,,0,0
2025-09-28T00:05:01.002096,bybit,82,,,0,0
2025-09-28T00:05:06.044865,binance,58,1759010705016,1759010705265,0,0
2025-09-28T00:05:06.044865,coinbase,161,,,0,0
2025-09-28T00:05:06.044865,kraken,16,,,0,0
2025-09-28T00:05:06.044865,okx,298,,,0,0
2025-09-28T00:05:06.044865,bybit,88,,,0,0
2025-09-28T00:05:06.045330,binance,58,1759010705016,1759010705265,0,0
2025-09-28T00:05:06.045330,coinbase,161,,,0,0
2025-09-28T00:05:06.045330,kraken,16,,,0,0
2025-09-28T00:05:06.045330,okx,298,,,0,0
2025-09-28T00:05:06.045330,bybit,88,,,0,0
2025-09-28T00:05:06.045523,binance,58,1759010705016,1759010705265,0,0
2025-09-28T00:05:06.045523,coinbase,161,,,0,0
2025-09-28T00:05:06.045523,kraken,16,,,0,0
2025-09-28T00:05:06.045523,okx,298,,,0,0
2025-09-28T00:05:06.045523,bybit,88,,,0,0
2025-09-28T00:05:06.045693,binance,58,1759010705016,1759010705265,0,0
2025-09-28T00:05:06.045693,coinbase,161,,,0,0
2025-09-28T00:05:06.045693,kraken,16,,,0,0
2025-09-28T00:05:06.045693,okx,298,,,0,0
2025-09-28T00:05:06.045693,bybit,88,,,0,0
2025-09-28T00:05:06.045844,binance,58,1759010705016,1759010705265,0,0
2025-09-28T00:05:06.045844,coinbase,161,,,0,0
