event_id,date,venue_event,venue_i,venue_j,lag,beta_pre,beta_post,delta_beta,p_delta,n_pre,n_post,insufficient,notes
75,20250904,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,46,59,True,LOW_N
76,20250904,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,46,56,True,LOW_N
76,20250904,BINANCE,BITGET,BINANCE,0,nan,nan,nan,nan,48,66,True,LOW_N
77,20250904,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,57,49,True,LOW_N
79,20250904,BITGET,BITGET,COINBASE,0,nan,nan,nan,nan,49,53,True,LOW_N
80,20250904,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,41,69,True,LOW_N
81,20250904,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,46,59,True,LOW_N
82,20250904,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,46,59,True,LOW_N
83,20250904,BITGET,BITGET,BINANCE,0,nan,nan,nan,nan,48,66,True,LOW_N
83,20250904,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,46,56,True,LOW_N
83,20250904,BITGET,BITGET,COINBASE,0,nan,nan,nan,nan,46,61,True,LOW_N
83,20250904,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,49,55,True,LOW_N
83,20250904,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,47,62,True,LOW_N
84,20250904,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,57,49,True,LOW_N
84,20250904,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,57,46,True,LOW_N
84,20250904,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,48,55,True,LOW_N
87,20250904,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,63,47,True,LOW_N
89,20250904,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,49,60,True,LOW_N
89,20250904,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,49,59,True,LOW_N
90,20250904,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,47,62,True,LOW_N
91,20250904,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,48,62,True,LOW_N
91,20250904,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,48,55,True,LOW_N
93,20250904,COINBASE,BITGET,COINBASE,0,nan,nan,nan,nan,49,53,True,LOW_N
94,20250904,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,63,47,True,LOW_N
95,20250904,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,49,61,True,LOW_N
96,20250904,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,49,61,True,LOW_N
97,20250904,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,49,55,True,LOW_N
97,20250904,COINBASE,BITGET,COINBASE,0,nan,nan,nan,nan,46,61,True,LOW_N
101,20250905,BINANCE,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,49,69,True,LOW_N
103,20250905,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,45,66,True,LOW_N
103,20250905,BINANCE,COINBASE,BINANCE,0,nan,nan,nan,nan,42,63,True,LOW_N
103,20250905,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,47,66,True,LOW_N
104,20250905,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,47,66,True,LOW_N
104,20250905,BINANCE,COINBASE,BINANCE,0,nan,nan,nan,nan,43,65,True,LOW_N
104,20250905,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,49,67,True,LOW_N
105,20250905,BINANCE,BITGET,BINANCE,0,nan,nan,nan,nan,48,53,True,LOW_N
108,20250905,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,49,68,True,LOW_N
108,20250905,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,45,56,True,LOW_N
