venue,date,anchor_price,anchor_type,t0,pre_start,pre_end,post_start,post_end,pre_count,post_count,session,wash_tercile
BINANCE,20250905,113000.0,Round,2025-09-05 12:32:30.299000,2025-09-05 12:17:30.299000,2025-09-05 12:32:30.299000,2025-09-05 12:32:30.299000,2025-09-05 12:47:30.299000,11149,41604,EU,Medium
COINBASE,20250905,110500.0,Round,2025-09-05 00:55:24.129554,2025-09-05 00:40:24.129554,2025-09-05 00:55:24.129554,2025-09-05 00:55:24.129554,2025-09-05 01:10:24.129554,3282,3689,Asia,Low
COINBASE,20250905,111000.0,Round,2025-09-05 01:42:33.134536,2025-09-05 01:27:33.134536,2025-09-05 01:42:33.134536,2025-09-05 01:42:33.134536,2025-09-05 01:57:33.134536,3253,3456,Asia,Low
COINBASE,20250905,111500.0,Round,2025-09-05 05:06:45.008790,2025-09-05 04:51:45.008790,2025-09-05 05:06:45.008790,2025-09-05 05:06:45.008790,2025-09-05 05:21:45.008790,2190,2517,Asia,Low
COINBASE,20250905,112000.0,Round,2025-09-05 07:01:18.077572,2025-09-05 06:46:18.077572,2025-09-05 07:01:18.077572,2025-09-05 07:01:18.077572,2025-09-05 07:16:18.077572,2735,4999,Asia,Low
COINBASE,20250905,112235.6,Prior_HL,2025-09-05 07:04:14.863902,2025-09-05 06:49:14.863902,2025-09-05 07:04:14.863902,2025-09-05 07:04:14.863902,2025-09-05 07:19:14.863902,3842,4551,Asia,Low
COINBASE,20250905,112500.0,Round,2025-09-05 07:11:51.662833,2025-09-05 06:56:51.662833,2025-09-05 07:11:51.662833,2025-09-05 07:11:51.662833,2025-09-05 07:26:51.662833,4640,5025,Asia,Low
COINBASE,20250905,113000.0,Round,2025-09-05 07:55:05.993913,2025-09-05 07:40:05.993913,2025-09-05 07:55:05.993913,2025-09-05 07:55:05.993913,2025-09-05 08:10:05.993913,3759,3375,Asia,Low
BYBITSPOT,20250905,110500.0,Round,2025-09-05 00:55:25.072000,2025-09-05 00:40:25.072000,2025-09-05 00:55:25.072000,2025-09-05 00:55:25.072000,2025-09-05 01:10:25.072000,2992,3960,Asia,Low
BYBITSPOT,20250905,111000.0,Round,2025-09-05 01:43:22.912000,2025-09-05 01:28:22.912000,2025-09-05 01:43:22.912000,2025-09-05 01:43:22.912000,2025-09-05 01:58:22.912000,2861,3129,Asia,Low
