event_id,date,venue_event,venue_i,venue_j,delta_disp,delta_entropy,session,wash_tercile,n_pre,n_post
25,20250902,BINANCE,COINBASE,BINANCE,-1.48201200830224e-09,0.0,Tokyo,low,180,180
25,20250902,BINANCE,BINANCE,BYBITSPOT,-1.6714831657987902e-08,-0.00247424158504872,Tokyo,low,180,180
25,20250902,BINANCE,BYBITSPOT,BINANCE,-1.5746115924242344e-08,9.55811327478795e-05,Tokyo,low,177,180
25,20250902,BINANCE,BINANCE,BITGET,-1.12451936235982e-08,0.0,Tokyo,low,180,180
25,20250902,BINANCE,BITGET,BINANCE,-8.78024699108112e-09,0.0,Tokyo,low,180,180
26,20250902,BINANCE,BINANCE,COINBASE,-1.15126738498146e-07,0.0,NewYork,low,180,180
26,20250902,BINANCE,COINBASE,BINANCE,-1.9254656823487483e-07,0.0,NewYork,low,180,180
26,20250902,BINANCE,BINANCE,BYBITSPOT,-1.2749598411048866e-07,0.0,NewYork,low,180,180
26,20250902,BINANCE,BYBITSPOT,BINANCE,8.723457886460722e-08,0.0,NewYork,low,180,180
26,20250902,BINANCE,BINANCE,BITGET,-1.441852453481822e-07,0.0,NewYork,low,180,180
26,20250902,BINANCE,BITGET,BINANCE,-1.5231211656495183e-07,0.0,NewYork,low,180,180
27,20250902,BINANCE,BINANCE,COINBASE,-4.046750678122224e-08,0.0,NewYork,low,180,180
27,20250902,BINANCE,COINBASE,BINANCE,-5.72585525071778e-08,0.0,NewYork,low,180,180
27,20250902,BINANCE,BINANCE,BYBITSPOT,-4.7551989215323333e-08,0.0,NewYork,low,180,180
27,20250902,BINANCE,BYBITSPOT,BINANCE,-8.152746782871262e-08,0.0,NewYork,low,180,180
27,20250902,BINANCE,BINANCE,BITGET,-5.1505652563676464e-08,0.0,NewYork,low,180,180
27,20250902,BINANCE,BITGET,BINANCE,-4.1594584888132544e-08,0.0,NewYork,low,180,180
28,20250902,BITGET,BITGET,BINANCE,6.52663572771923e-08,0.0,NewYork,low,180,180
28,20250902,BITGET,BINANCE,BITGET,5.564511495113585e-08,0.0,NewYork,low,180,180
28,20250902,BITGET,BITGET,COINBASE,2.6093778538992565e-08,0.0,NewYork,low,180,180
28,20250902,BITGET,COINBASE,BITGET,1.6357372890328573e-07,0.0,NewYork,low,180,180
28,20250902,BITGET,BITGET,BYBITSPOT,-4.679964581366888e-08,6.277301686119507e-05,NewYork,low,179,180
